Degree	Network
19	Sanak_sho
26	Sanak_sho
19	Sanak_sho
65	Sanak_sho
14	Sanak_sho
16	Sanak_sho
37	Sanak_sho
9	Sanak_sho
27	Sanak_sho
6	Sanak_sho
29	Sanak_sho
8	Sanak_sho
12	Sanak_sho
51	Sanak_sho
15	Sanak_sho
15	Sanak_sho
16	Sanak_sho
32	Sanak_sho
17	Sanak_sho
8	Sanak_sho
44	Sanak_sho
55	Sanak_sho
18	Sanak_sho
25	Sanak_sho
80	Sanak_sho
85	Sanak_sho
28	Sanak_sho
40	Sanak_sho
36	Sanak_sho
25	Sanak_sho
26	Sanak_sho
20	Sanak_sho
49	Sanak_sho
29	Sanak_sho
2	Sanak_sho
13	Sanak_sho
3	Sanak_sho
11	Sanak_sho
115	Sanak_sho
77	Sanak_sho
30	Sanak_sho
5	Sanak_sho
60	Sanak_sho
15	Sanak_sho
3	Sanak_sho
202	Sanak_sho
107	Sanak_sho
17	Sanak_sho
56	Sanak_sho
92	Sanak_sho
50	Sanak_sho
23	Sanak_sho
46	Sanak_sho
14	Sanak_sho
64	Sanak_sho
115	Sanak_sho
102	Sanak_sho
87	Sanak_sho
65	Sanak_sho
9	Sanak_sho
42	Sanak_sho
16	Sanak_sho
33	Sanak_sho
59	Sanak_sho
47	Sanak_sho
17	Sanak_sho
13	Sanak_sho
124	Sanak_sho
22	Sanak_sho
